date,AAPL,IBM,GOOG,XOM,cash,port_val
2011-06-02,0.0,538798.0804443359,-28934.843635559082,0.0,527355.4400708202,1037218.676879597
2011-06-03,0.0,214169.69451904297,-28661.96689605713,0.0,846993.7591404917,1032501.4867634776
2011-06-06,0.0,213780.42449951172,-28551.282501220703,0.0,846993.7591404917,1032222.9011387827
2011-06-07,0.0,212404.98809814453,-28440.0484085083,0.0,846993.7591404917,1030958.698830128
2011-06-08,0.0,213248.40087890625,-28447.721099853516,0.0,846993.7591404917,1031794.4389195445
2011-06-09,0.0,213897.22900390625,-28314.022827148438,0.0,846993.7591404917,1032576.9653172495
2011-06-10,11808.560943603516,211743.08471679688,-27918.404006958008,0.0,835116.2053921702,1030749.4470456126
2011-06-13,11833.92219543457,211730.21087646484,-27656.485557556152,0.0,835116.2053921702,1031023.8529065135
2011-06-14,12045.529174804688,212962.92724609375,-27855.939865112305,0.0,835116.2053921702,1032268.7219479564
2011-06-15,11839.358139038086,210640.21453857422,-27558.951950073242,0.0,835116.2053921702,1030036.8261197093
2011-06-16,11781.744003295898,211081.4666748047,-27417.58098602295,0.0,835116.2053921702,1030561.8350842479
2011-06-17,11604.203796386719,213378.16314697266,-26576.484489440918,0.0,835116.2053921702,1033522.0878460887
2011-06-20,11425.205612182617,214130.80444335938,-26552.37331390381,0.0,835116.2053921702,1034119.8421338084
2011-06-21,11786.819458007812,215687.90130615234,-27013.74397277832,0.0,835116.2053921702,1035577.1821835521
2011-06-22,11689.350128173828,214987.158203125,-26685.526084899902,0.0,835116.2053921702,1035107.1876385692
2011-06-23,12001.688003540039,215558.2061767578,-26313.468742370605,0.0,835116.2053921702,1036362.6308300975
2011-06-24,11824.863052368164,214195.66040039062,-26020.867919921875,0.0,835116.2053921702,1035115.8609250071
2011-06-27,12031.037521362305,217504.5394897461,-26454.841804504395,0.0,835116.2053921702,1038196.9405987742
2011-06-28,12147.702026367188,220605.89294433594,-27049.363136291504,0.0,835116.2053921702,1040820.4372265819
2011-06-29,12103.504943847656,221293.54400634766,-27264.158630371094,0.0,835116.2053921702,1041249.0957119945
2011-06-30,12162.56332397461,222604.14123535156,-27746.896171569824,0.0,835116.2053921702,1042136.0137799266
2011-07-01,12437.576293945312,226483.95080566406,-28549.63970184326,0.0,835116.2053921702,1045488.0927899363
2011-07-05,12661.136627197266,227638.90380859375,-29174.845504760742,0.0,835116.2053921702,1046241.4003232005
2011-07-06,12745.561981201172,230597.47009277344,-29334.84535217285,0.0,835116.2053921702,1049124.392113972
2011-07-07,12942.676162719727,229001.3153076172,-29950.735664367676,0.0,835116.2053921702,1047109.4611981395
